,protocol_type,service,flag,src_bytes,dst_bytes,logged_in,count,srv_count,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,labels
0,1,19,9,491,0,0,2,2,1.0,0.0,150,25,0.17,0.03,0.17,0.0,0.0,0.0,0.05,1
1,2,40,9,146,0,0,13,1,0.08,0.15,255,1,0.0,0.6,0.88,0.0,0.0,0.0,0.0,1
2,1,45,5,0,0,0,123,6,0.05,0.07,255,26,0.1,0.05,0.0,0.0,1.0,1.0,0.0,0
3,1,22,9,232,8153,1,5,5,1.0,0.0,30,255,1.0,0.0,0.03,0.04,0.03,0.01,0.0,1
4,1,22,9,199,420,1,30,32,1.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5,1,45,1,0,0,0,121,19,0.16,0.06,255,19,0.07,0.07,0.0,0.0,0.0,0.0,1.0,0
6,1,45,5,0,0,0,166,9,0.05,0.06,255,9,0.04,0.05,0.0,0.0,1.0,1.0,0.0,0
7,1,45,5,0,0,0,117,16,0.14,0.06,255,15,0.06,0.07,0.0,0.0,1.0,1.0,0.0,0
8,1,47,5,0,0,0,270,23,0.09,0.05,255,23,0.09,0.05,0.0,0.0,1.0,1.0,0.0,0
9,1,45,5,0,0,0,133,8,0.06,0.06,255,13,0.05,0.06,0.0,0.0,1.0,1.0,0.0,0
10,1,45,1,0,0,0,205,12,0.06,0.06,255,12,0.05,0.07,0.0,0.0,0.0,0.0,1.0,0
11,1,45,5,0,0,0,199,3,0.02,0.06,255,13,0.05,0.07,0.0,0.0,1.0,1.0,0.0,0
12,1,22,9,287,2251,1,3,7,1.0,0.0,8,219,1.0,0.0,0.12,0.03,0.0,0.0,0.0,1
13,1,19,9,334,0,1,2,2,1.0,0.0,2,20,1.0,0.0,1.0,0.2,0.0,0.0,0.0,0
14,1,32,5,0,0,0,233,1,0.0,0.06,255,1,0.0,0.07,0.0,0.0,1.0,1.0,0.0,0
15,1,34,5,0,0,0,96,16,0.17,0.05,255,2,0.01,0.06,0.0,0.0,1.0,1.0,0.0,0
16,1,22,9,300,13788,1,8,9,1.0,0.0,91,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,1
17,0,13,9,18,0,0,1,1,1.0,0.0,1,16,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0
18,1,22,9,233,616,1,3,3,1.0,0.0,66,255,1.0,0.0,0.02,0.03,0.0,0.0,0.02,1
19,1,22,9,343,1178,1,9,10,1.0,0.0,157,255,1.0,0.0,0.01,0.04,0.0,0.0,0.0,1
20,1,31,5,0,0,0,223,23,0.1,0.05,255,23,0.09,0.05,0.0,0.0,1.0,1.0,0.0,0
21,1,45,5,0,0,0,280,17,0.06,0.05,238,17,0.07,0.06,0.0,0.0,0.99,1.0,0.0,0
22,1,22,9,253,11905,1,8,10,1.0,0.0,87,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,1
23,2,40,9,147,105,0,1,1,1.0,0.0,255,1,0.0,0.85,1.0,0.0,0.0,0.0,0.0,1
24,1,31,5,0,0,0,248,2,0.01,0.06,255,2,0.01,0.06,0.0,0.0,1.0,1.0,0.0,0
25,1,56,9,437,14421,1,1,1,1.0,0.0,255,25,0.1,0.05,0.0,0.0,0.53,0.0,0.02,1
26,1,45,5,0,0,0,279,7,0.03,0.06,255,13,0.05,0.07,0.0,0.0,1.0,1.0,0.0,0
27,1,22,9,227,6588,1,5,22,1.0,0.0,43,255,1.0,0.0,0.02,0.14,0.0,0.0,0.56,1
28,1,22,9,215,10499,1,14,14,1.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
29,1,22,9,241,1400,1,33,33,1.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
30,0,13,9,8,0,0,1,12,1.0,0.0,1,53,1.0,0.0,1.0,0.51,0.0,0.0,0.0,0
31,1,17,5,0,0,0,57,16,0.28,0.07,255,59,0.23,0.04,0.01,0.0,1.0,1.0,0.0,0
32,1,22,9,303,555,1,9,9,1.0,0.0,9,255,1.0,0.0,0.11,0.01,0.0,0.0,0.0,1
33,1,45,1,0,0,0,2,1,0.5,1.0,255,1,0.0,0.31,0.28,0.0,0.0,0.0,0.29,0
34,2,11,9,45,45,0,181,181,1.0,0.0,255,250,0.98,0.01,0.0,0.0,0.0,0.0,0.0,1
35,2,45,9,105,147,0,2,2,1.0,0.0,41,5,0.12,0.05,0.05,0.0,0.0,0.0,0.0,1
36,2,11,9,43,43,0,122,202,1.0,0.0,255,255,1.0,0.0,0.01,0.0,0.0,0.0,0.0,1
37,1,54,5,0,0,0,205,17,0.08,0.06,255,17,0.07,0.07,0.0,0.0,1.0,1.0,0.0,0
