pkSeqID,proto,saddr,daddr,pkts,bytes,state,dur,mean,sum,min,spkts,sbytes,rate,srate
1,4,10,17,9,936,1,0.13,0,0,0.04,4,468,0,0
2,0,6,39,8,640,5,0.11,0,0,0.16,4,320,7809.06,3904.53
3,0,6,12,2,206,2,0.08,0,0,0.04,1,103,1781.83,0
4,0,10,7,10,1250,4,0.04,1280.58,12805.8,0.06,5,625,6559.64,0
5,0,6,25,2,146,2,0,476.58,953.16,0,1,73,0,0
6,0,2,37,8,856,1,0,302.42,2419.36,0,4,428,0,0.0
7,0,5,8,7,560,3,0,0,0,0,3,280,9001.66,0
8,3,4,34,6,792,5,0,0,0,0,3,396,0,0.0
9,3,10,38,5,760,5,0,1468.25,7341.25,0,2,380,9103.84,0
10,4,4,42,8,1024,0,0,0,0,0,4,512,8728.81,0
11,0,11,25,4,516,4,0.19,1287.27,5149.08,0.18,2,258,5434.08,0
12,0,2,39,10,750,0,0.03,761.2,7612.0,0.1,5,375,0,0
13,0,4,23,10,1080,5,0.1,0,0,0.18,5,540,0,0.0
14,3,10,9,9,1611,5,0,846.84,7621.56,0,4,805,474.75,0
15,4,4,42,2,274,4,0,0,0,0,1,137,3488.3,1744.15
16,3,4,5,4,524,4,0.05,0,0,0.1,2,262,4990.46,0
17,0,7,24,7,420,0,0.1,0,0,0.16,3,210,2937.81,0
18,3,8,11,8,1056,0,0,0,0,0,4,528,717.74,358.87
19,4,9,44,5,540,3,0.14,314.16,1570.8,0.19,2,270,0,0.0
20,0,4,43,2,250,4,0.19,0,0,0.03,1,125,5360.96,2680.48
21,3,11,22,6,816,4,0.09,703.23,4219.38,0.19,3,408,2681.4,0
22,0,11,12,2,250,0,0,118.02,236.04,0,1,125,6286.1,3143.05
23,0,2,31,3,354,4,0.04,250.46,751.38,0.05,1,177,5344.72,2672.36
24,0,5,15,10,1570,0,0.12,0,0,0.06,5,785,0,0
25,0,6,11,3,258,3,0.04,766.64,2299.92,0.13,1,129,0,0.0
26,3,1,7,5,605,5,0.1,78.4,392.0,0.1,2,302,1530.11,765.05
27,4,6,40,4,336,0,0,0,0,0,2,168,0,0.0
28,4,2,17,3,216,0,0,0,0,0,1,108,0,0.0
29,4,9,22,5,855,2,0.03,0,0,0.09,2,427,146.27,0
30,4,6,39,3,516,5,0,1000.58,3001.74,0,1,258,14.6,7.3
31,0,0,30,5,740,4,0,1200.53,6002.65,0,2,370,4957.87,2478.93
32,3,4,38,10,740,3,0.17,0,0,0.17,5,370,0,0
33,3,1,32,2,120,2,0.12,0,0,0.14,1,60,0,0.0
34,3,4,35,9,1494,1,0,14.69,132.21,0,4,747,0,0
35,3,4,31,5,665,2,0,0,0,0,2,332,119.13,0
36,3,2,18,3,315,4,0.12,835.56,2506.68,0.07,1,157,3527.1,1763.55
37,3,3,10,7,889,5,0.12,1270.15,8891.05,0.13,3,444,3695.74,1847.87
38,3,5,29,6,450,1,0.12,152.83,916.98,0.07,3,225,8163.72,0
39,0,4,42,3,249,5,0.09,502.54,1507.62,0.2,1,124,0,0
40,0,7,20,10,1240,5,0,1114.6,11146.0,0,5,620,0,0.0
41,3,3,8,7,1099,0,0.12,49.44,346.08,0.02,3,549,4571.63,2285.82
42,3,10,31,5,760,3,0.12,0,0,0.01,2,380,1162.42,581.21
43,3,5,35,6,642,0,0.1,873.51,5241.06,0.09,3,321,0,0.0
44,4,4,8,5,750,2,0,651.6,3258.0,0,2,375,3346.0,0
45,3,9,43,2,332,0,0,1070.09,2140.18,0,1,166,4504.01,2252.01
46,0,5,33,4,672,2,0.01,1152.74,4610.96,0.08,2,336,1326.88,663.44
47,4,6,8,6,810,3,0.15,0,0,0.07,3,405,6707.06,0
48,3,3,17,10,760,5,0,586.2,5862.0,0,5,380,0,0
49,3,6,35,8,1128,3,0,714.57,5716.56,0,4,564,4594.98,2297.49
50,0,8,30,8,744,5,0.07,0,0,0.13,4,372,0,0.0
51,4,4,4,2,280,5,0.01,439.08,878.16,0.2,1,140,5426.03,2713.01
52,0,2,16,2,228,0,0,0,0,0,1,114,5962.9,0
53,4,8,23,5,865,4,0.07,926.82,4634.1,0.09,2,432,8902.25,0
54,4,1,7,10,1630,0,0.12,556.38,5563.8,0.09,5,815,6219.79,3109.89
55,4,3,3,6,678,1,0.14,0,0,0.14,3,339,0,0.0
56,3,8,33,4,364,5,0.15,0,0,0.11,2,182,9437.24,0
57,4,0,41,3,234,5,0,0,0,0,1,117,7658.06,3829.03
58,4,1,5,2,186,3,0.09,0,0,0.18,1,93,9867.7,0
59,4,0,23,3,312,5,0,0,0,0,1,156,6326.75,0
60,3,10,39,5,630,2,0.18,1219.33,6096.65,0.12,2,315,0,0
61,4,4,17,6,882,2,0,0,0,0,3,441,3674.02,1837.01
62,0,9,19,5,800,0,0.1,0,0,0.17,2,400,0,0.0
63,4,12,30,4,632,4,0.03,0,0,0.11,2,316,2751.18,1375.59
64,4,3,40,5,310,4,0,0,0,0,2,155,0,0
65,3,3,28,6,522,2,0,34.66,207.96,0,3,261,5526.99,0
66,4,6,32,9,873,4,0,0,0,0,4,436,9599.5,4799.75
67,4,0,44,9,585,2,0.16,0,0,0.04,4,292,0,0.0
68,3,2,8,10,1480,1,0,61.8,618.0,0,5,740,1915.35,957.67
69,0,0,2,5,800,0,0.15,195.71,978.55,0.02,2,400,7971.43,3985.72
70,3,1,36,5,560,1,0,75.2,376.0,0,2,280,5437.76,0
71,0,8,25,8,976,1,0,1133.99,9071.92,0,4,488,3382.16,1691.08
72,3,5,13,3,255,3,0,0,0,0,1,127,6464.12,0
73,0,2,31,10,1250,5,0.18,590.2,5902.0,0.13,5,625,1820.62,0
74,3,1,7,7,1141,2,0.05,1398.03,9786.21,0.16,3,570,2159.21,1079.61
