protocol_type,service,flag,src_bytes,dst_bytes,logged_in,count,srv_count,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate
0,52,10,1988,8438,0,183,78,0.39,0.92,169,142,0.59,0.44,0.83,0.76,0.52,0.81,0.71
2,14,10,567,34992,0,73,51,0.62,0.7,131,5,0.27,0.88,0.38,0.67,0.8,0.49,0.24
1,59,9,3038,68394,0,145,75,0.65,0.93,125,81,0.03,0.2,0.62,0.19,0.27,0.37,0.92
1,20,7,2345,83287,1,396,55,0.58,0.47,73,167,0,0.36,0.32,0.98,0.44,0.77,0.35
1,52,10,3143,28935,0,152,38,0.21,0.45,152,129,0.07,0.57,0.61,0.18,0.17,0.36,0.76
0,40,11,2303,77991,1,56,92,0.51,0.53,236,120,0.36,0.29,0.54,0.77,0.33,0.09,0.26
2,68,1,308,49854,0,183,87,0.88,0.07,111,43,0.19,1,0.21,0.97,0.76,0.86,0.71
0,44,4,2138,75651,0,122,82,0.87,0.91,224,92,0.27,0.45,0.63,0.73,0.43,0.4,0.03
0,6,10,2196,50702,1,244,20,0.75,0.67,145,230,0.7,0.05,0.11,0.67,0.45,0.13,0.3
1,57,3,461,55823,1,382,97,0.7,0.62,105,240,0.96,0.18,0.48,0.9,0.79,0.65,0.09
2,58,11,4730,83253,1,204,2,0.15,0.93,88,187,0.21,0.53,0.72,0.27,0.76,0.89,0.45
2,30,7,3820,63102,1,79,26,0.46,0.99,8,78,0.47,0.55,0.55,0.28,0.19,0.86,0.44
1,52,5,4732,98058,1,16,2,0.11,0.16,134,209,0.99,0.98,0.75,0.64,0.42,0.55,0.36
2,11,9,645,96283,0,126,67,0.82,0.75,9,15,0.93,0.6,0.27,0.88,0.85,0.09,0.98
1,47,11,4613,50950,1,87,84,0.29,0.58,15,46,0.35,0.67,0.05,0.62,0.46,0.7,0.24
1,5,3,1396,52607,1,466,74,0.77,0.46,64,7,0.32,0.21,0.06,0.98,0.66,0.61,0.79
2,3,11,3268,68901,0,278,42,0.81,0.98,216,170,0.24,0.11,0.27,0.22,0.31,0.21,0.45
2,15,6,4285,51779,0,366,85,0.89,0.85,178,115,0.16,0.6,0.41,0.83,0.06,0.9,0.33
2,2,10,3874,34852,1,428,40,0.75,0.7,246,7,0.46,0.86,0.54,0.93,0.16,0.09,0.2
2,2,2,4174,61986,0,351,9,0.56,0.38,124,175,0.34,0.59,0.76,0.43,0.4,0.37,0.63
0,54,3,1570,94853,0,43,2,0.6,0.67,11,251,0.74,0.44,0.84,0.96,0.35,0.09,0.33
1,46,4,815,70509,0,79,28,0.32,0.53,95,88,0.24,0.58,0.69,0.2,0.9,0.91,0.81
1,41,6,1905,45427,0,277,3,0.18,0.25,120,90,0.74,0.47,0.46,0.95,0.55,0.04,0.97
1,69,11,4167,36194,0,379,16,0.13,0.45,174,206,0.29,0.14,0.26,0.9,0.63,0.43,0.23
1,30,1,2090,55989,0,264,4,0.18,0.21,45,239,0.59,0.74,0.43,0.07,0.69,0.86,0.13
0,44,6,4898,16863,1,305,23,0.93,0.5,237,19,0.64,0.53,0.27,0.52,0.53,0.25,0.32
2,10,4,3204,27533,1,488,94,0.16,0.72,246,53,0.67,0.4,0.62,0.53,0.77,0.11,0.47
2,30,8,3870,85650,0,228,77,0.72,0.04,77,90,0.18,0.56,0.82,0.06,0.78,0.13,0.3
2,49,9,1129,55511,1,125,6,0.18,0.77,94,16,0.28,0.24,0.52,0.04,0.35,0.4,0.97
1,35,8,2055,89062,1,106,74,0.98,0.02,59,226,0.25,0.43,0.05,0.01,0.08,0.43,0.78
0,65,8,1797,81546,0,230,55,0.37,0.52,153,62,0.58,0.62,0.94,0.52,0.99,0.72,0.97
0,17,2,3414,77740,0,134,81,0.41,0.57,240,194,0.08,0.23,0.29,0.46,0.64,0.24,0.37
2,31,10,2484,25275,0,81,8,0.4,0.76,140,65,0.52,0.75,0.91,0.94,0.71,0.7,0.3
1,52,2,688,35415,0,360,73,0.82,0.76,85,112,0.09,0.52,0.81,0.34,0.76,1,0.41
2,26,6,3463,21750,1,109,98,0.22,0.42,216,179,0.34,0.86,0.41,0.66,0.61,0.86,0.52
1,5,5,575,37876,0,175,81,0.83,0.07,26,36,0.69,0.85,0.06,0.01,0.47,0.64,0.74
2,14,6,4995,34489,1,164,86,0.66,0.69,114,163,0.41,0.49,0.95,0.66,0.98,0.94,0.88
