protocol_type,service,flag,src_bytes,dst_bytes,logged_in,count,srv_count,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate
1,21,4,921,7857,0,125,8,0.66,0.17,134,163,0.28,0.5,0.62,0.48,0.17,0.73,0.32
2,25,7,903,8177,0,63,7,0.64,0.22,139,36,0.0,0.05,0.14,0.54,0.36,0.99,0.33
1,33,8,517,6082,1,87,1,0.21,0.53,166,240,0.12,0.08,0.04,0.55,0.88,0.41,0.79
1,28,2,975,6658,0,41,5,0.03,0.09,118,56,0.75,0.79,0.8,0.29,0.44,0.68,0.71
1,17,7,791,2261,0,186,9,0.43,0.44,162,36,0.22,0.82,0.72,0.25,0.57,0.19,0.32
2,40,2,431,8021,1,98,6,0.57,0.58,209,89,0.99,0.68,0.31,0.0,0.18,0.4,0.49
1,30,2,486,508,1,124,8,0.88,0.52,67,212,0.17,0.84,0.06,0.4,0.49,0.49,0.08
1,26,8,605,2379,0,79,1,0.93,0.33,108,189,0.79,0.72,0.49,0.49,0.87,0.21,0.83
1,32,2,428,8879,1,10,7,0.53,0.54,174,62,0.71,0.9,0.28,0.74,0.77,0.91,0.27
2,46,9,268,4752,0,15,3,0.75,0.96,226,244,0.32,0.15,0.4,0.07,0.08,0.72,0.89
1,25,1,708,9484,0,42,9,0.44,0.21,86,109,0.33,0.39,0.27,0.92,0.86,0.28,0.6
1,15,9,536,5495,1,93,6,0.75,0.65,29,245,0.56,0.46,0.18,0.26,0.27,0.13,0.57
1,17,1,147,3209,0,185,5,0.2,0.04,60,209,0.85,0.3,0.39,0.37,0.67,0.29,0.16
1,34,2,117,7398,0,17,8,0.37,0.07,54,87,0.39,0.73,0.96,0.05,0.15,0.62,0.07
2,27,6,849,6743,0,188,8,0.63,0.55,93,153,0.06,0.91,0.27,0.65,0.67,0.83,0.55
1,34,6,366,5648,1,9,3,0.02,0.1,69,240,0.37,0.41,0.34,0.71,0.04,0.5,0.47
2,21,1,849,5171,1,114,2,0.72,0.02,202,64,0.21,0.94,0.33,0.93,0.6,0.1,0.12
2,24,7,65,7890,1,36,2,0.84,0.17,202,188,0.94,0.52,0.48,0.34,0.65,0.25,0.84
2,35,8,969,324,0,36,5,0.4,0.56,117,57,0.7,0.52,0.84,0.26,0.24,0.35,0.42
1,35,2,812,3557,0,48,7,0.45,0.7,9,113,0.05,0.6,0.4,0.73,0.94,0.64,0.26
2,41,8,369,3587,1,51,8,0.85,0.2,126,223,0.29,0.27,0.81,0.71,0.05,0.25,0.79
1,19,9,174,151,1,97,8,0.78,0.67,213,70,0.05,0.38,0.12,0.94,0.89,0.23,0.91
2,25,6,830,954,1,119,8,0.29,0.18,77,227,0.83,0.55,0.89,0.21,0.38,0.29,0.31
2,16,5,587,4354,0,95,3,0.32,0.61,10,180,0.91,0.94,0.19,0.71,0.71,0.59,0.78
2,26,9,494,7160,1,70,2,0.68,0.41,102,184,0.11,0.64,0.04,0.07,0.65,0.49,0.65
2,32,9,972,9383,0,74,4,0.56,0.65,203,191,0.44,0.33,0.16,0.48,0.17,0.84,0.99
2,35,1,113,687,1,80,1,0.16,1.0,196,196,0.93,0.01,0.19,0.12,0.32,0.7,0.2
2,30,3,110,8501,0,68,3,0.31,0.94,58,232,0.15,0.98,0.51,0.65,0.53,0.67,0.96
2,31,9,760,9694,0,150,9,0.9,0.0,238,20,0.29,0.49,0.45,0.6,0.85,0.15,0.32
2,16,2,438,3127,1,77,7,0.69,0.89,254,233,0.3,0.94,0.72,0.05,0.95,0.06,0.41
1,23,4,714,6763,0,116,7,0.99,0.07,223,54,0.03,0.55,0.05,0.32,0.02,0.51,0.36
1,24,4,146,3395,1,6,1,0.77,0.95,113,1,0.04,0.61,0.5,0.4,0.35,0.07,0.27
2,16,2,34,9005,0,154,7,0.94,0.28,180,237,0.95,0.71,0.33,0.25,0.67,0.36,0.69
2,18,3,998,845,0,75,7,0.22,0.38,162,90,0.57,0.32,0.63,0.04,0.53,0.03,0.59
2,17,3,308,1164,1,88,4,0.77,0.09,106,226,0.31,0.7,0.04,0.32,0.94,0.18,0.31
1,32,1,537,5904,0,3,7,0.02,0.11,35,247,0.38,0.53,0.03,0.79,0.02,0.11,0.13
2,38,6,749,9959,1,52,8,0.67,0.73,103,138,0.71,0.67,0.43,0.36,0.44,0.8,0.32
1,27,8,13,5360,1,74,3,0.47,0.94,103,151,0.37,0.84,0.81,0.32,0.67,0.35,0.38
1,40,3,373,354,1,125,2,0.35,0.61,161,179,0.23,0.18,0.67,0.94,0.22,0.08,0.38
1,39,5,556,1872,0,188,7,0.86,0.72,200,113,0.1,0.61,0.02,0.04,0.73,0.27,0.36
1,48,1,427,2024,0,191,5,0.85,0.76,160,152,0.73,0.05,0.18,0.77,0.08,0.68,0.05
1,44,7,727,2817,0,65,5,0.02,0.26,183,13,0.18,0.1,0.23,0.48,0.45,0.75,0.46
2,27,1,232,3832,1,52,5,0.61,0.05,97,157,0.07,0.67,0.42,0.94,0.68,0.12,0.84
2,48,9,704,8257,1,76,7,0.37,0.0,136,186,0.43,0.07,0.59,0.39,0.27,0.78,0.18
2,26,8,562,2581,0,142,9,0.42,0.35,174,110,0.04,0.6,0.22,0.71,0.07,0.37,0.15
2,23,7,938,9582,0,89,8,0.83,0.24,142,91,0.96,0.22,0.38,0.07,0.96,0.68,0.47
2,40,7,886,9322,1,72,6,0.31,0.06,226,95,0.63,0.3,0.58,0.93,0.91,0.67,0.37
1,33,5,725,2486,0,68,7,0.94,0.18,136,43,0.15,0.13,0.38,0.34,0.93,0.79,0.56
2,44,5,662,9026,1,156,9,0.18,0.12,243,138,0.17,0.25,0.14,0.52,0.98,0.7,0.95
2,43,5,439,8418,0,199,6,0.66,0.91,106,159,0.57,0.82,0.49,0.14,0.18,0.04,0.76
1,12,1,501,2443,1,138,1,0.67,0.14,71,231,0.36,0.64,0.32,0.95,0.16,0.52,0.69
2,46,8,274,8919,0,115,4,0.25,0.54,77,74,0.77,0.95,0.86,0.67,0.03,0.17,0.42
1,49,1,849,1036,0,57,8,0.32,0.59,54,216,0.55,0.05,0.78,0.05,0.89,0.97,0.29
2,35,4,75,8684,1,66,7,0.83,0.54,21,225,0.43,0.79,0.19,0.16,0.75,0.26,0.54
1,32,9,438,7435,1,90,3,0.76,0.1,111,14,0.96,0.7,0.15,0.4,0.63,0.42,0.89
2,48,9,731,1548,1,50,3,0.33,0.32,224,99,0.39,0.26,0.35,0.22,0.93,0.2,0.88
2,24,5,859,9335,0,14,3,0.53,0.05,75,109,0.4,0.73,0.41,0.3,0.58,0.13,0.45
1,13,4,955,5065,1,16,1,0.06,0.4,250,162,0.67,0.72,0.93,1.0,0.13,0.6,0.25
1,38,3,698,6496,1,182,1,0.21,0.19,14,145,0.81,0.46,0.3,0.66,0.18,0.49,0.23
1,31,3,288,6183,0,171,6,0.49,0.56,203,149,0.63,0.69,0.87,0.92,0.13,0.37,0.03
1,34,5,914,3957,1,42,1,0.09,0.69,2,96,0.7,0.44,0.51,0.44,0.31,0.09,0.84
1,22,1,539,3407,1,110,5,0.84,0.53,226,195,0.37,0.34,0.89,0.71,0.38,0.74,0.26
1,27,5,890,639,1,22,4,0.72,0.43,189,58,0.48,0.47,0.7,0.46,0.8,0.01,0.36
